"manifest_schema_id","total_protocol_id","r_only_protocol_id","audit_id","data_id","path_id","route_id","seed_index","original_fit_seed","continuation_seed","initialization_independence_id","audit_stage","start_state_policy","additional_T1_sweeps_policy","target_cumulative_T1","fixed_horizon_ignores_intermediate_strict_stop","sequential_from_verified_state","main_endpoint_replaced","main_selection_reopened","counterfactual_selection_only","main_error_policy","truth_available_to_continuation","truth_available_to_counterfactual_selection","formal_continuation_started","terminal_record_required"
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_07_to_800","v0lv_03","R","random__pre1__anneal_default",7,82620307,82620307,"v0lv_03__R__82620307","to_800","verified_audit_state_400","400",800,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_08_anchor_200","v0lv_03","R","random__pre1__anneal_default",8,82620308,82620308,"v0lv_03__R__82620308","anchor_200","main_endpoint_or_verified_main_200","max(0,200-main_actual_T1)",200,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_08_to_400","v0lv_03","R","random__pre1__anneal_default",8,82620308,82620308,"v0lv_03__R__82620308","to_400","verified_audit_anchor_200","200",400,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_08_to_800","v0lv_03","R","random__pre1__anneal_default",8,82620308,82620308,"v0lv_03__R__82620308","to_800","verified_audit_state_400","400",800,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_09_anchor_200","v0lv_03","R","random__pre1__anneal_default",9,82620309,82620309,"v0lv_03__R__82620309","anchor_200","main_endpoint_or_verified_main_200","max(0,200-main_actual_T1)",200,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_09_to_400","v0lv_03","R","random__pre1__anneal_default",9,82620309,82620309,"v0lv_03__R__82620309","to_400","verified_audit_anchor_200","200",400,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_09_to_800","v0lv_03","R","random__pre1__anneal_default",9,82620309,82620309,"v0lv_03__R__82620309","to_800","verified_audit_state_400","400",800,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_10_anchor_200","v0lv_03","R","random__pre1__anneal_default",10,82620310,82620310,"v0lv_03__R__82620310","anchor_200","main_endpoint_or_verified_main_200","max(0,200-main_actual_T1)",200,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_10_to_400","v0lv_03","R","random__pre1__anneal_default",10,82620310,82620310,"v0lv_03__R__82620310","to_400","verified_audit_anchor_200","200",400,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_10_to_800","v0lv_03","R","random__pre1__anneal_default",10,82620310,82620310,"v0lv_03__R__82620310","to_800","verified_audit_state_400","400",800,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
