"fit_id","data_id","scenario_id","seed_index","endpoint_role","structure_exact","structure_class","block_role","ppi_at_20","ppi_at_200","ppi_at_400","first_checkpoint_ppi_below_0_5","first_checkpoint_ppi_below_0_1","first_checkpoint_ppi_below_0_01","loading_norm_ratio_at_0","loading_norm_ratio_at_200","loading_norm_ratio_at_400","max_loading_norm_ratio","first_checkpoint_loading_ratio_above_2","first_checkpoint_loading_ratio_above_5","same_role_loading_abs_cosine_at_400","factor_process_grid_rms_at_400","complete_contribution_grid_rms_proxy_at_400"
"g12ss4c_sparse_01__G12__06","g12ss4c_sparse_01","sparse_observation",6,"winner",FALSE,"underselected_or_missing","B1",5.88874232709813e-08,5.82808614701946e-08,5.82497645673641e-08,20,20,20,1.67010634004407,0,0,1.67010634004407,,,0,0,0
"g12ss4c_sparse_01__G12__06","g12ss4c_sparse_01","sparse_observation",6,"winner",FALSE,"underselected_or_missing","B2",1,1,1,,,,1.63832385762222,1.49968849753707,1.30318972849787,1.9990082739859,,,0.999476525139174,1.29516351280184,0.506353135982573
"g12ss4c_sparse_01__G12__07","g12ss4c_sparse_01","sparse_observation",7,"not_selected",FALSE,"underselected_or_missing","A",3.70979093000656e-08,3.68902302039231e-08,3.68208802337122e-08,20,20,20,1.69068038995727,0,0,1.69068038995727,,,0,0,0
"g12ss4c_sparse_01__G12__07","g12ss4c_sparse_01","sparse_observation",7,"not_selected",FALSE,"underselected_or_missing","B1",1,1,1,,,,1.64405040139074,1.59625246710697,1.34734423178318,2.32663502106168,20,,5.42673459797107e-05,1.08242690791067,0.437520495210102
"g12ss4c_sparse_01__G12__07","g12ss4c_sparse_01","sparse_observation",7,"not_selected",FALSE,"underselected_or_missing","B2",1,1,1,,,,1.63504593452299,1.64398415519663,1.37562121496314,2.53218915876823,20,,0.000302532787704067,1.0620062547362,0.438275500331599
"g12ss4c_sparse_01__G12__08","g12ss4c_sparse_01","sparse_observation",8,"not_selected",FALSE,"underselected_or_missing","A",1,1,1,,,,1.54421835187068,1.66217328165242,1.33582454126373,2.36999378102589,20,,0.999734571285191,0.865295955902839,0.346765072005381
"g12ss4c_sparse_01__G12__08","g12ss4c_sparse_01","sparse_observation",8,"not_selected",FALSE,"underselected_or_missing","B1",5.83022747857598e-08,5.82066869148079e-08,5.82061585596705e-08,20,20,20,1.73160366173519,0,0,1.73160366173519,,,0,0,0
"g12ss4c_sparse_01__G12__08","g12ss4c_sparse_01","sparse_observation",8,"not_selected",FALSE,"underselected_or_missing","B2",1,1,1,,,,1.59883431112069,1.4586167338925,1.23923834335922,2.03988251838719,20,,0.999476955283408,3.00368878242226,1.11668589320869
"g12ss4c_sparse_02__G12__01","g12ss4c_sparse_02","sparse_observation",1,"not_selected",FALSE,"underselected_or_missing","A",1,1,1,,,,1.64895798296626,1.76410499897509,1.71298752656123,2.25818802600808,20,,0.999387469626285,2.91006845814327,1.4954732910716
"g12ss4c_sparse_02__G12__01","g12ss4c_sparse_02","sparse_observation",1,"not_selected",FALSE,"underselected_or_missing","B1",1,1,1,,,,1.68345532257366,0.713263120338034,0.65179616810043,1.68345532257366,,,0.00249662833641737,0.597064106169906,0.116749228953556
